,inputs,outputs,prediction
207,schedule a football activity with ana for today at 11am.,scheduled football activity for today at lab_appointment#time with football_activity#party.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> reminder for football with with your for the today at ana <eos>
208,schedule a football activity with ana for today at 11am. scheduled football activity for today at lab_appointment#time with football_activity#party.  thank you.,no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <eos>
209,make a note that at 5 pm on the 12th i have yoga,making a note for yoga at lab_appointment#time on lab_appointment#date.,<pad> <pad> <pad> <pad> <pad> <pad> okay making note of your yoga appointment at 5 pm on the 12th <eos>
210,what is the weather like right now,what city shall i check for you?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> where are you wanting you know the weather <unk> <eos>
211,what is the weather like right now what city shall i check for you? please check exeter: is it humid?,today is not humid in exeter. it is manhattan#conference#date.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and high of welcome <eos>
212,what is the weather like right now what city shall i check for you? please check exeter: is it humid? today is not humid in exeter. it is manhattan#conference#date. thank you!,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and high of welcome <eos>
213,will it be raining this week in redwood city?,there isn't any rain predicted to fall in redwood city this week,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there is no it's will be rain this atherton <eos>
214,will it be raining this week in redwood city? there isn't any rain predicted to fall in redwood city this week thank you.,anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> on welcome <eos>
215,what is the weather going to be like tomorrow show me the 7 day forecast,what city are you interested in?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city shall where look the 7 day forecast <unk> <eos>
216,what is the weather going to be like tomorrow show me the 7 day forecast what city are you interested in? fresno: there will be hail tomorrow?,dentist_appointment#partyorrow in fresno it will rain,<pad> <pad> <pad> <pad> <pad> <pad> will <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
217,what is the weather going to be like tomorrow show me the 7 day forecast what city are you interested in? fresno: there will be hail tomorrow? dentist_appointment#partyorrow in fresno it will rain so no hail tomorrow in fresno?,"no hail in fresno, dentist_appointment#partyorrow there will be rain",<pad> <pad> <pad> <pad> <pad> <pad> will <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
218,"what is the weather going to be like tomorrow show me the 7 day forecast what city are you interested in? fresno: there will be hail tomorrow? dentist_appointment#partyorrow in fresno it will rain so no hail tomorrow in fresno? no hail in fresno, dentist_appointment#partyorrow there will be rain thanks.",until next time!,<pad> <pad> <pad> <pad> <pad> <pad> will <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
219,what is the weather like in the city,what city are you interested in?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city specifically did you want weather data <unk> <eos>
220,what is the weather like in the city what city are you interested in? what is the weather in compton on sunday?,"it will be cloudy, with a low of 90f and a high of 100f in compton on dinner#date.",<pad> <pad> <pad> <pad> <pad> <pad> in <pad> <pad> <pad> <pad> <pad> temperature <pad> <pad> <pad> <pad> you're <unk> <eos>
221,"what is the weather like in the city what city are you interested in? what is the weather in compton on sunday? it will be cloudy, with a low of 90f and a high of 100f in compton on dinner#date. thanks.",anytime.,<pad> <pad> <pad> <pad> <pad> <pad> in <pad> <pad> <pad> <pad> <pad> temperature <pad> <pad> <pad> <pad> you're <unk> <eos>
222,what time is my doctor's appointment,your doctor's appointment is scheduled for lab_appointment#date at lab_appointment#time.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your doctors's appointment is at 3pm <eos>
223,what's the temperature going to be like today and tomorrow,what city are you wanting to know the temperature for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city can i give you the temperature information <unk> <eos>
224,what's the temperature going to be like today and tomorrow what city are you wanting to know the temperature for? seattle,it will be between 60dinner#agenda70f today and 30dinner#agenda40f dentist_appointment#partyorrow in seattle.,i will rapids <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> of welcome <eos>
225,what's the temperature going to be like today and tomorrow what city are you wanting to know the temperature for? seattle it will be between 60dinner#agenda70f today and 30dinner#agenda40f dentist_appointment#partyorrow in seattle. thank you.,no problem.,i will rapids <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> of welcome <eos>
226,is there a parking garage within 2 miles?,"yes, i have one listed that is 1 mile away.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the the you have mile the located <unk> 1 mile away <eos>
227,"is there a parking garage within 2 miles? yes, i have one listed that is 1 mile away.  that's great! please pick the quickest route and send me the address on screen, thank you!","then let's go at parking_garage#poi, i sent the info on your screen!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> at heading your now <eos>
228,"is there a parking garage within 2 miles? yes, i have one listed that is 1 mile away.  that's great! please pick the quickest route and send me the address on screen, thank you! then let's go at parking_garage#poi, i sent the info on your screen! fantastic. thanks, car!",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> at heading your now <eos>
229,find starbucks,the nearest coffee_or_tea_place#poi is Palo_Alto_Medical_Foundation#distance away. there is a road block on its way so i already sent on your screen another route to reach faster,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there are no starbucks nearby <eos>
230,find starbucks the nearest coffee_or_tea_place#poi is Palo_Alto_Medical_Foundation#distance away. there is a road block on its way so i already sent on your screen another route to reach faster is is the quickest one available? i really need my morning coffee!,"yes, it is, hope you can have your coffee soon!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> screen you're <unk> <eos>
231,"find starbucks the nearest coffee_or_tea_place#poi is Palo_Alto_Medical_Foundation#distance away. there is a road block on its way so i already sent on your screen another route to reach faster is is the quickest one available? i really need my morning coffee! yes, it is, hope you can have your coffee soon! where is the starbucks?",the coffee_or_tea_place#poi is located at Starbucks#address. setting navigation now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> screen you're <unk> <eos>
232,"find starbucks the nearest coffee_or_tea_place#poi is Palo_Alto_Medical_Foundation#distance away. there is a road block on its way so i already sent on your screen another route to reach faster is is the quickest one available? i really need my morning coffee! yes, it is, hope you can have your coffee soon! where is the starbucks? the coffee_or_tea_place#poi is located at Starbucks#address. setting navigation now.   thank you.","you're welcome; drive safely, and enjoy.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> screen you're <unk> <eos>
233,will it be foggy on tuesday in redwood city?,it will be cloudy but not foggy in redwood city on lab_appointment#date.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no there will not be foggy in city on week <eos>
234,will it be foggy on tuesday in redwood city? it will be cloudy but not foggy in redwood city on lab_appointment#date.  thank you,glad i could help out,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
235,directions to the mall,navigating you to shopping_center#poi.,<pad> <pad> <pad> <pad> <pad> away <pad> topanga mall and <pad> the you you you like to any <unk> <eos>
236,"directions to the mall navigating you to shopping_center#poi. thank you car, please pick the fastest route",setting gps for fastest route with Mandarin_Roots#traffic_info,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the the has heavy route <eos>
237,"directions to the mall navigating you to shopping_center#poi. thank you car, please pick the fastest route setting gps for fastest route with Mandarin_Roots#traffic_info sounds great and can you tell me the address?","the address is Town_and_Country#address, i sent it on your screen",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
238,"directions to the mall navigating you to shopping_center#poi. thank you car, please pick the fastest route setting gps for fastest route with Mandarin_Roots#traffic_info sounds great and can you tell me the address? the address is Town_and_Country#address, i sent it on your screen awesome, goodbye.",you're welcome and we should be there soon.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
239,what time do i go to yoga and who is going with me?,yoga is with football_activity#party at lab_appointment#time.,<pad> <pad> <pad> your activities lined on on at with your are am are on the at your <unk> <eos>
240,what time do i go to yoga and who is going with me? yoga is with football_activity#party at lab_appointment#time. thanks.,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
241,check the date and time of my doctor's appointment,your appointment is for lab_appointment#date at lab_appointment#time.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your doctor's appointment is on sunday at 1 pm <eos>
242,"car i need to get to a gas station, please show me the nearest one",there is gas_station#poi Dominos#distance away with Dominos#traffic_info on our way,the <pad> <pad> <pad> is the is away mile the nearest is there is away at road is away <eos>
243,"car i need to get to a gas station, please show me the nearest one there is gas_station#poi Dominos#distance away with Dominos#traffic_info on our way alright, where is it located?",gas_station#poi is at Valero#address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the <pad> is at heading to <unk> <eos>
244,"car i need to get to a gas station, please show me the nearest one there is gas_station#poi Dominos#distance away with Dominos#traffic_info on our way alright, where is it located? gas_station#poi is at Valero#address. please pick the fastest route to get there","there is The_Westin#traffic_info on our way, i sent the route on your screen",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the <pad> is at heading to <unk> <eos>
245,"car i need to get to a gas station, please show me the nearest one there is gas_station#poi Dominos#distance away with Dominos#traffic_info on our way alright, where is it located? gas_station#poi is at Valero#address. please pick the fastest route to get there there is The_Westin#traffic_info on our way, i sent the route on your screen thank you car!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the <pad> is at heading to <unk> <eos>
246,"i want to find the agenda, location, and time for my meeting.","you have two meetings scheduled, one at yoga_activity#time in conference#room to conference#agenda, and one at dinner#time in meeting#room to go over the quarterly report.",<pad> <pad> <pad> <pad> two one your conference at at at pm room room room and 100 conference room <eos>
247,"i want to find the agenda, location, and time for my meeting. you have two meetings scheduled, one at yoga_activity#time in conference#room to conference#agenda, and one at dinner#time in meeting#room to go over the quarterly report. thanks.",you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i good help <eos>
248,tell me when is my next meeting and who are invited in the meeting and what are the agenda of the next meeting,your next meeting is on football_activity#date at meeting#time with the meeting#party to conference#agenda.,you next meeting is on <pad> at 1pm <unk> hr will be in attendance to go over the budget <eos>
249,take me to the parking garage closest to my destination,"the nearest parking garage is parking_garage#poi, it's dentist_appointment#partys_house#distance away. navigate you there?",the closest <unk> parking garage webster garage alto garage r which there is a away but there is a <eos>
250,"take me to the parking garage closest to my destination the nearest parking garage is parking_garage#poi, it's dentist_appointment#partys_house#distance away. navigate you there? sure, thank you, just pick the quickest route and send me the address on screen","i sent the info and the quickest info on your screen, you're welcome!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> should your now <eos>
251,schedule a swimming activity with jon for december 10th at 3pm.,your swimming activity with dinner#party has been scheduled for dec 10th at football_activity#time.,<pad> <pad> <pad> <pad> <pad> i set for a swimming activity activity with jon at the 3pm with mother <eos>
252,schedule a swimming activity with jon for december 10th at 3pm. your swimming activity with dinner#party has been scheduled for dec 10th at football_activity#time. thank you.,it is my job and pleasure.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is <pad> my problem <eos>
253,i would like to know who is attending my meeting and when it is.,your conference#party will be at the meeting on football_activity#date at medicine#time.,<pad> <pad> <pad> your <pad> your next <pad> your your your is your like is in at your aunt <eos>
254,i would like to know who is attending my meeting and when it is.  your conference#party will be at the meeting on football_activity#date at medicine#time. thanks.,happy to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> are welcome <eos>
255,is it going to snow this week,what location do you want to know if it will snow?,<pad> <pad> <pad> <pad> <pad> <pad> please tell me what city i can give you the snow information for <eos>
256,"is it going to snow this week what location do you want to know if it will snow? mountain view, please!",it will snow on lab_appointment#date in mountain view.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to <pad> rain and <pad> to week <eos>
257,"is it going to snow this week what location do you want to know if it will snow? mountain view, please! it will snow on lab_appointment#date in mountain view. thanks.",no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to <pad> rain and <pad> to week <eos>
258,i need to schedule a doctor's appointment,when?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what day and time shall i time this to your <unk> <eos>
259,i need to schedule a doctor's appointment when? it's at 1 pm today.,okay. we set up your doctor's appointment today at medicine#time.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will will <pad> the appointment is you to very <unk> <eos>
260,show me the nearest shopping mall,we're Palo_Alto_Medical_Foundation#distance away from shopping_center#poi and there is Pizza_Chicago#traffic_info on its way,<pad> <pad> <pad> <pad> <pad> we are we away from stanford shopping center does it sound good to <unk> <eos>
261,"show me the nearest shopping mall we're Palo_Alto_Medical_Foundation#distance away from shopping_center#poi and there is Pizza_Chicago#traffic_info on its way okay, where is it located?",you will find shopping_center#poi at Topanga_Mall#address,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> drive <unk> <eos>
262,"show me the nearest shopping mall we're Palo_Alto_Medical_Foundation#distance away from shopping_center#poi and there is Pizza_Chicago#traffic_info on its way okay, where is it located? you will find shopping_center#poi at Topanga_Mall#address direction please.",setting navigation now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> drive <unk> <eos>
263,"show me the nearest shopping mall we're Palo_Alto_Medical_Foundation#distance away from shopping_center#poi and there is Pizza_Chicago#traffic_info on its way okay, where is it located? you will find shopping_center#poi at Topanga_Mall#address direction please. setting navigation now.  thank you.",you're welcome; drive safely.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> drive <unk> <eos>
264,"show me the nearest shopping mall we're Palo_Alto_Medical_Foundation#distance away from shopping_center#poi and there is Pizza_Chicago#traffic_info on its way okay, where is it located? you will find shopping_center#poi at Topanga_Mall#address direction please. setting navigation now.  thank you.  you're welcome; drive safely.  [end conversation]",bye!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> drive <unk> <eos>
265,"car i need a rest stop in the area, please pick something and avoid all heavy traffic",rest_stop#poi is Pizza_Chicago#distance away with Dominos#traffic_info. will that help?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> the is away and away currently there currently a traffic currently traffic <eos>
266,"car i need a rest stop in the area, please pick something and avoid all heavy traffic rest_stop#poi is Pizza_Chicago#distance away with Dominos#traffic_info. will that help? sounds great. send me that address.",rest_stop#poi is at The_Westin#address. do you need me to set the navigation?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> navigation <unk> <eos>
267,"car i need a rest stop in the area, please pick something and avoid all heavy traffic rest_stop#poi is Pizza_Chicago#distance away with Dominos#traffic_info. will that help? sounds great. send me that address.  rest_stop#poi is at The_Westin#address. do you need me to set the navigation? sure, please do!",navigation set. have a great day.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> navigation <unk> <eos>
268,can you find out for me the date and parties attending my dinner?,your dinner is on doctor_appointment#date with your lab_appointment#party.,you have three <unk> activities scheduled one on the your your brother and at and one the the 7pm <eos>
269,can you find out for me the date and parties attending my dinner? your dinner is on doctor_appointment#date with your lab_appointment#party. thanks.,you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
270,look up san francisco's two day weather info to see if it will be warm,it will be stormy and hailing in san francisco in the next two days.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> mateo it is not snow in next on hail <eos>
271,look up san francisco's two day weather info to see if it will be warm it will be stormy and hailing in san francisco in the next two days. thank you.,no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
272,i need to find out the date and time for my lab appointment.,"for which one? i have two, one on dinner#date at lab_appointment#time and one on lab_appointment#date at lab_appointment#time.",you have two lab appointments scheduled one on the at at and am and one on 12th and 12th <eos>
273,"i need to find out the date and time for my lab appointment.  for which one? i have two, one on dinner#date at lab_appointment#time and one on lab_appointment#date at lab_appointment#time.  thanks that will do car.",you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> glad with help <eos>
274,is it going to rain in the next 7 days,where are you wanting to know if it's going to rain or not?,<pad> <pad> <pad> <pad> ok could you please let me know what location i should like up data <unk> <eos>
275,is it going to rain in the next 7 days where are you wanting to know if it's going to rain or not? in san francisco,it is not going to rain in san francisco this week.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no <pad> scheduled <pad> <pad> <pad> <pad> <pad> between <unk> <eos>
276,is it going to rain in the next 7 days where are you wanting to know if it's going to rain or not? in san francisco it is not going to rain in san francisco this week. thanks.,no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no <pad> scheduled <pad> <pad> <pad> <pad> <pad> between <unk> <eos>
277,what's the weather like today and tomorrow,what city are you wanting to know the weather for?,<pad> <pad> <pad> <pad> <pad> <pad> for <pad> city <pad> <pad> <pad> <pad> <pad> to hear are forecast <unk> <eos>
278,"what's the weather like today and tomorrow what city are you wanting to know the weather for? seatlle, i want to know if it will be foggy today and tomorrow.",dentist_appointment#partyorrow in seattle is looking warm with a low of 70f and a high of 90f. no sign of fog.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to <unk> <eos>
279,"what's the weather like today and tomorrow what city are you wanting to know the weather for? seatlle, i want to know if it will be foggy today and tomorrow. dentist_appointment#partyorrow in seattle is looking warm with a low of 70f and a high of 90f. no sign of fog. thanks!",no problem!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to <unk> <eos>
280,show me the weather for the next 7 days,what city would you like the 7 day forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what what city can give give you the weather information <unk> <eos>
281,show me the weather for the next 7 days what city would you like the 7 day forecast for? will it be humid in compton?,it should not be humid in compton next week.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
282,show me the weather for the next 7 days what city would you like the 7 day forecast for? will it be humid in compton? it should not be humid in compton next week. thanks.,anytime!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
283,where does my friend live?,dentist_appointment#party lives at dentist_appointment#partys_house#address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> mesa <pad> <pad> <pad> friends <pad> <pad> and you navigation <unk> <eos>
284,where does my friend live? dentist_appointment#party lives at dentist_appointment#partys_house#address. ok set the gps. thanks.,"i did, you're welcome!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> away <pad> <pad> to <unk> <eos>
285,remind me to watch the football game on the 1st,what time on swimming_activity#date should i set a reminder to watch the football game?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> for <pad> reminder for the is for <unk> <eos>
286,remind me to watch the football game on the 1st what time on swimming_activity#date should i set a reminder to watch the football game? at 2 pm please.,i have set a reminder for the football game at doctor_appointment#time on swimming_activity#date,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> reminder <pad> are goodbye <eos>
287,remind me to watch the football game on the 1st what time on swimming_activity#date should i set a reminder to watch the football game? at 2 pm please. i have set a reminder for the football game at doctor_appointment#time on swimming_activity#date thanks.,you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> reminder <pad> are goodbye <eos>
288,check doctor's appointment date,your doctor appointment is on football_activity#date at doctor_appointment#time.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you have a doctor's appointment set for tueday at 2pm <eos>
289,give me weather forecast for today,what city do you want the weather forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city should i check today's forecast <unk> <eos>
290,"give me weather forecast for today what city do you want the weather forecast for? downtown chicago, please",today in downtown chicago there should be hail with a high of 70f,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will in it is <unk> in chicago snowing tomorrow <eos>
291,"give me weather forecast for today what city do you want the weather forecast for? downtown chicago, please today in downtown chicago there should be hail with a high of 70f thanks",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no today <eos>
292,which temperature there will be in alhambra on thursday?,"on football_activity#date the temperature in alhambra will be low of 20f, and high of 30f",<pad> <pad> there there will forecast forecast forecast alhambra on <unk> low low of 20f and low on <unk> <eos>
293,"which temperature there will be in alhambra on thursday? on football_activity#date the temperature in alhambra will be low of 20f, and high of 30f thanks!",happy to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
294,what day and time is my dental appointment set for?,"lab_appointment#date at football_activity#time with dentist_appointment#party, lab_appointment#date at doctor_appointment#time with doctor_appointment#party, lab_appointment#date at doctor_appointment#time with your football_activity#party, doctor_appointment#date at yoga_activity#time with dentist_appointment#party, and lab_appointment#date at taking_medicine#time with your football_activity#party.",<pad> <pad> <pad> <pad> your <pad> appointment your appointment your your appointment appointment at on and at your with <eos>
295,what is the weather like in the city,what city are you inquiring about?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city specifically did you want weather data <unk> <eos>
296,what is the weather like in the city what city are you inquiring about? i am in durham.,what would you like to know about the weather in durham?,<pad> <pad> <pad> <pad> <pad> <pad> york will be would with like to know and snow in boston 80f <eos>
297,what is the weather like in the city what city are you inquiring about? i am in durham. what would you like to know about the weather in durham? will there be a blizzard?,the weekly forecast does not show that there will be a blizzard in durham this week.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you between <unk> <eos>
298,what is the weather like in the city what city are you inquiring about? i am in durham. what would you like to know about the weather in durham? will there be a blizzard? the weekly forecast does not show that there will be a blizzard in durham this week. thanks.,not a problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you between <unk> <eos>
299,what's the weather like in new york,is there a specific day you would like to know the weather for in new york?,boston#tuesday <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what <pad> low i about the are high york's <unk> <eos>
300,what's the weather like in new york is there a specific day you would like to know the weather for in new york? i need to know about friday please.,it will be dry and between 30dinner#agenda50f lab_appointment#date in new york.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> a <pad> interested <unk> <eos>
301,what's the weather like in new york is there a specific day you would like to know the weather for in new york? i need to know about friday please.  it will be dry and between 30dinner#agenda50f lab_appointment#date in new york. thanks.,no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> a <pad> interested <unk> <eos>
302,schedule taking medicine at 6 pm on the 13th of next month with my brother.,taking medicine with your yoga_activity#party at dinner#time on lab_appointment#date has been scheduled.,<pad> <pad> <pad> <pad> setting a for for for with your brother on 6 at 6th pm with pm <eos>
303,is it cloudy in cleveland today?,it is cloudy right now in cleveland.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it will not be clear in in cleveland <eos>
304,is it cloudy in cleveland today? it is cloudy right now in cleveland. thanks.,you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> are are welcome <eos>
305,i need the closest hospital.,the hospital#poi is Pizza_Chicago#distance away at Palo_Alto_Medical_Foundation#address. would you like directions there?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the hospital hospital is at to near <eos>
306,"i need the closest hospital.  the hospital#poi is Pizza_Chicago#distance away at Palo_Alto_Medical_Foundation#address. would you like directions there? yes, please give me directions via the route with no traffic.","there is The_Westin#traffic_info on our way and you should be able to reach there fast. i sent all the info on your screen, drive carefully!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> at glad to <unk> <eos>
307,"i need the closest hospital.  the hospital#poi is Pizza_Chicago#distance away at Palo_Alto_Medical_Foundation#address. would you like directions there? yes, please give me directions via the route with no traffic. there is The_Westin#traffic_info on our way and you should be able to reach there fast. i sent all the info on your screen, drive carefully! thank you car!",you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> at glad to <unk> <eos>
308,info about football please.,your football  activity is on dinner#date at 9 am with your yoga_activity#party.,<pad> <pad> <pad> <pad> <pad> is on the at 6 pm the you be coffee_or_tea_place#poi will be the <unk> <eos>
309,"info about football please.  your football  activity is on dinner#date at 9 am with your yoga_activity#party.  thanks, that's all.",happy to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> are pleasure <eos>
310,take me to the nearest grocery store,there is a grocery_store#poi Mandarin_Roots#distance away: would you like to get its address?,<pad> <pad> <pad> <pad> <pad> <pad> the nearest grocery store is whole away whole foods at 819 alma st <eos>
