inputs,outputs
"locate my friends address for me. jill or tom? the closest one, it should be jill if i'm not wrong both jill and tom's homes are jills_house#distance away. but tom's home located at 580 van ness ave has a route with out any traffic, while the route to jill's home has heavy traffic. let's go to tom's please.",setting navigation to tom's we should be there shortly.
i want pizza. i have an address for a pizza spot located Pizza_My_Heart#distance away. would you like more info? yes please find the quickest route.  pizza my heart is the only pizza place i can find. it is Pizza_My_Heart#distance away through heavy traffic. please give me the address and load directions. thank you.,pizza_restaurant#poi is at 528 anton ct. gps is set.
is it currently windy in fresno? it is currently cloudy in fresno - i do not have wind data. thanks.,anytime!
is it gonna be humid in inglewood during the next week?,it will not be humid in inglewood next week.
who will be going to my doctors appointment and what day is it on?,your brother will be going to the doctor's appointment on doctor_appointment#date.
"find me a nearby parking garage or parking lot the closest parking garage is dish parking, Dish_Parking#distance away at 550 alester ave. does this route have any traffic?",it has Pizza_Chicago#traffic_info.
i have a dinner. when is it and who is attending your dinner is the 13th at 7 pm with your taking_medicine#party.  thanks.,happy to help
does the forecast say it will snow what city do you want to know the forecast for? will it snow in seattle today?,it will not snow in seattle today.
"let me know if there will be snow and ice in the next week's forecast what city should i look to find snow and ice in the forecast? in mountain view, please",there is snow in the forecast for mountain_view#sunday in mountain view.
"will there be drizzle in oakland on los_angeles#sunday? no, on los_angeles#sunday the weather forecast calls for hail in oakland thank you.",you are welcome.
what is the date of my swimming activity and who is attending?,"you have a swimming activity on saturday, tuesday and swimming_activity#date, which one do you want?"
"is it going to be raining this weekend what city should i check for rain this weekend in? los angeles, thank you!","in los angeles it will be cloudy on saturday and it might snow on seattle#sunday, no rain"
what day is my dentist appointment,"your dentist appointment is on dentist_appointment#date, at 11 am."
remind me when i can get my lab results,what day are they expected to be in?
where can i go shopping?,there is topanga mall within Dominos#distance but there is a roadblock nearby.
"can you give me directions to the nearest starbucks i do not have a starbucks nearby, but there is a philz coffee and tea place Philz#distance away, would you like more information? yes, please, check if there is a route with no traffic and send me its address on the screen","unfortunately philzis the only coffee or tea place that i can find. it is located at 583 alester ave, there is Philz#traffic_info on this route"
"where are the nearest coffee shops we're Starbucks#distance away from starbucks and Starbucks#distance away from palo alto cafe: where do you prefer to go? it's the same, please pick one with a quick route please palo alto cafe is quicker since there is Palo_Alto_Cafe#traffic_info on route. would you like the address? yes please.","palo alto cafe is located at 436 alger dr, which is Starbucks#distance away with no traffic."
reminder to take medicine.,what time and day would you like the reminder to take medicine?
give me this week's high temperature,what city would you like to know the temperature of?
this week in exeter will it be hot?,this week it's not gonna be hot in exeter
can you find me a coffee place near me? coupa is Coupa#distance away. is there any traffic on the way there? the route to coffee_or_tea_place#poi does not have any traffic can you pull up the route and put it on the screen. coupa is Coupa#distance away at 394 van ness ave. the screen has been set to display the address.  thank you car!,you're welcome; drive safely.
"car i wanna go back home, please pick the fastest route! we're Ravenswood_Shopping_Center#distance away and there is no traffic on our way, i sent the info on your screen thanks, what is the address? your home is at home#address. thanks, let's go there.",sounds good. have a great day.
what is the date and time for the yoga activity? you have two yoga activites scheduled. one on wednesday at 5pm and another on yoga_activity#date at 11am. thanks,"glad i could help, goodbye."
schedule a reminder to take medicine with my brother this month on the 11th at 3pm.,reminder set to take medicine on the 11th of this month at 3 pm with brother.
"i think i have a friend who lives around here, what is their address, and find me the quickest route there",jill's house is jills_house#distance away at 347 alta mesa ave. would you like directions there?
"where can i find a rest stop? we're Travelers_Lodge#distance away from travelers lodge but there is heavy traffic on our way is there any other options? no, there is not. what is the address? rest_stop#poi is at 333 arbol dr. want me to set the gps? set gps for the quickest route please.",gps set for quickest route to rest_stop#poi.
"is it snowing next week in which city do you want to know if it will snow? i'm in grand rapids, find out if there will be snow this week.  the only snow predicted in grand rapids this week is the blizzard on compton#sunday. okay, thanks",you're welcome
is there going to be dew in san francisco on redwood_city#thursday?,the forecast calls for warm weather in san francisco on redwood_city#thursday
get me directions to the nearest chinese restaurant,tai_pan#distance away there is road block nearby the tai pan chinese restaurant located at 830 almanor ln
find me a parking garage around me.,there is a parking garage Palo_Alto_Garage_R#distance away at 481 amaranta ave but a road block is noted nearby.
what's the weather like this week,which city would you like the weekly weather forecast for?
"give me directions to my friends house i don't see any address listed as that. do you have an alternate one? mmm, no, i'm sorry, if you don't see it forget about it, i remember the road, let's hope to avoid all Pizza_My_Heart#traffic_info.. sorry, i just found it, 56 cadwell street, i set the gps to get there and don't worry, there is home#traffic_info now! that'll work, thanks. no problem show me route details please.  gps is set for 56 cadwell street, which is 3 minutes away with home#traffic_info. thank you.",you're welcome.
what is the temperature what city would you like the temperature for? mountain view for the next 2 days.,mountain view will be seeing temperatures between 90-100f on monday and 60-70f on boston#tuesday.
what's the temperature going to be this week what city are you asking about? alhambra,"temperature in alhambra this week ranges in the mid 60, 70, and 80s"
"i'm looking for some takeout chinese food you can pick between tai pan and jing jing, both tai_pan#distance away, or p.f. changs, 6 miles away i'd like to try chinese_restaurant#poi, let's go through an alternate route and in the quickest way jing jing has a route to 113 arbol drive with Ravenswood_Shopping_Center#traffic_info but we should still get there quickly. is that going to work? is that the quickest way?","yes, it is the quickest way to reach, i've set the gps and you could follow the route on your screen"
make me an appointment with the optometrist,"ok, making an appointment with your optometrist."
what is the temperature outside,where are you located?
schedule a meeting today at 9 am with management to discuss the company picnic. setting reminder for meeting with management to discuss company picnic for today at 9 am.  thanks!,you are welcome.
i want chinese. panda express is home#distance away. is it the one with the shortest distance?,yes chinese_restaurant#poi is the closest one noted.
quickest route to home please.,the quickest route home is an 8 mile drive through Pizza_Chicago#traffic_info.
"please tell me the weather for today and what the weather will be tomorrow what city shall i find the weather forecast for? i want to know if there will be clear skies in downtown chicago. yes today and tomorrow is supposed to be clear for chicago.  ok, great, thanks.",no problem.
"i need a reminder for my doctor appointment on the 1st at 2 pm with ana.  scheduling doctor appointment for the 1st at 2 pm with ana.  awesome, thanks.",you are welcome
is it supposed to drizzle in danville this danville#thursday?,it will not drizzle in danville on danville#thursday.
what is the weather forecast in the city what city should i check the weather forecast for? boston for what day would you like the forecast in boston for? the next 7 days,"in boston, it will be clear and humid monday and tuesday, snowy and windy wednesday and thursday, hot on friday and cleveland#sunday, and drizzling on saturday.,"
"what is the current temperature what city do you want to know the temperature for? compton, please! current temperature is low of 60f and high of 70f. thank you",anytime!
"what's the weekly forecast what city would you like to know the weekly forecast for? is it going to be dry in san jose this week? it will be dry in san jose on san_jose#tuesday. is san_jose#tuesday the only day it will be dry? yes, it will only be dry on san_jose#tuesday in san jose. okay, thank you so much!",you're welcome!
what hospitals are nearby?,there is one hospital nearby called hospital#poi. do you need the address?
what time do i need to take my medicine?,you are scheduled to take medicine at 10 am
car what is the weather going to be like in the next several days for what city would you like to know the weather for? san francisco,what days are you interested in?
"find me a hotel nearby the nearest hotel is the westin, it's The_Westin#distance away at 329 el camino real pick the fastes route and let's go there! navigating you to rest_stop#poi. thanks for the help.",there is currently Palo_Alto_Cafe#traffic_info on the way to the westin.
"where is there a coffee or tea place around. find me one that will get me there the quickest with the least traffic coffee_or_tea_place#poi would be the closest one. wold you like directions to this location yes please tell me the route, traffic, and where it is.",there is Peets_Coffee#traffic_info to teavana at 145 amherst st.
what day and time is my dentist appointment?,your dentist appointment is set for dentist_appointment#date at 11 am.
"take me to the nearest cafe the nearest cafe is The_Clement_Hotel#distance away. would you like more info? yes, please, if it's the best location you could show me its address on the map and then pick the quickest route to get there philz is the nearest cafe at The_Clement_Hotel#distance away. it's located at 583 alester avenue. would you like me to set the navigation? yes, please do that.",setting gps for philz cafe at 583 alester avenue The_Clement_Hotel#distance away with no traffic.
what is the date and time of the conference,your conference is scheduled for conference#date at 3 pm.
"what is the date, time, and agenda for my next conference?  your conference is on conference#date at 6 pm to onboard new members. thank you.",you are welcome.
what is the date of my next dentist appointment and who will be attending it with me?,your next dentist appointment is on dentist_appointment#date with your sister.
"will there be dew in danville today? today's weather forecast in danville calls for stormy weather.  ok, i think that's helpful for me to know.",you are welcome
show me the closest location where i can get chinese food panda express is Panda_Express#distance away. give me the address.,"842 arrowhead way, there is Whole_Foods#traffic_info but you should be able to reach there soon anyway"
what's the weekly forecast,what city shall i check the weekly forecast for?
i need to schedule a conference room,what day and time do you need to schedule a conference room?
need directions to the nearest hotel the four seasons is located 5672_barringer_street#distance away with no traffic. setting directions now.  can you send me the address? the address for rest_stop#poi is 465 arcadia place. thank you.,glad i could help out
where can i get groceries? i have a grocery store 1 mile away. would you like info on it? yes and find me the fastest route please.,"okay, the route to whole foods located at 819 alma dr is 1 mile away with Papa_Johns#traffic_info."
will it snow in fresno in the next week?,there isn't any snow predicted in fresno next week
what is the date and time of my opoptometrist_appointment#partyetrist appointment?,"you have three optometrist appointments scheduled. one one saturday at 9am, another on the 18th at 7pm, and one more on football_activity#date at 9am."
"find me the nearest grocery store the nearest one is sigona farmers market, it's Sigona_Farmers_Market#distance away give me the address. Sigona_Farmers_Market#address, you're welcome thanks set gps for there.",you're welcome and gps set.
get me the weather report for this week what city would you like the weather report for? will there be a blizzard in inglewood?,the weather forecast doesn't predict any blizzard this week in inglewood
is it going to rain in the next few days tell me when,what city should i check to see if it'll be raining during the week?
is it gonna  drizzle in manhattan during the next seven days?,on alhambra#friday in manhattan the forcast predicts it will drizzle.
on corona#monday will there be a blizzard in boston? there will not be a blizzard in boston on corona#monday. thanks.,you're welcome.
"please show me the weekly weather report what city do you want the weather for? i need the weather for compton. it will be 90-100f monday, 40-60f tuesday, 70-80f wednesday, 80-90f thursday, 40-60f friday, 60-80f saturday, and 30-40f compton#sunday. thanks. you are welcome. that will be all.",goodbye.
"which days are rain forecasted in what city would you like the forecast? alameda, tell me about right now",there is drizzle in alameda right now.
"what's the weekly forecast for cleveland the weather will be foggy on monday, with snow on tuesday and friday, and rain on seattle#sunday. will there be any frost?",there isn't any frost predicted in cleveland this week.
"where can i get gas? i have a couple gas stations listed, both Shell#distance away. how is the traffic to them?",both have Shell#traffic_info at the moment.
"add my dentist appointment to the calendar i will add it, what date and time would you like?  the 12th at 11 am please added your dentist appointment on the 12th at 11 am to the calendar.  okay thank you.",glad to help
navigate home,navigating you home.
"what is the weather like today what city do you want to hear the weather for? i need today's weather for cleveland, and i need to know if it will be misty.  no, today it's not gonna be misty in cleveland, the prediction calls for rain thanks.",you are very welcome
bring me to the nearest coffee_or_tea_place#poi,coffee_or_tea_place#poi is 1 mile away at 792 bedoin street.
how cloudy is it going to be for the next week,what city can i tell you about next week's cloudiness?
set up a group meeting at the conference room for next week,where and when should i set up the meeting?
remind me i have a doctors appointment on the 12th at 5 pm,what time should i remind you that you have a doctors appointment?
i need to find out the time and parties attending for my medicine taking.,"you have three medicine events scheduled. one at 5pm with you brother, another at 3pm with tom, and one at 7pm with your taking_medicine#party."
directions to the parking garage,"the closest parking garage is parking_garage#poi, would you like directions?"
is there going to be hail in los angeles this weekend?,on manhattan#sunday hail is predicted to fall in san mateo
let me know if there will be snow and ice in the next week's forecast what location do you want the weather for? will it snow in carson?,there is no snow in the forecast for carson for next week.
who is coming to my doctor appointment with me?,you have two doctor appointments scheduled. on doctor_appointment#date jon will be attending it with you and on the 8th your aunt will be attending.
send me to the nearest gas station gas_station#poi is the nearest gas station at 200 alester ave does it have the least traffic of all choices? valero is the only choice and has toms_house#traffic_info. pick a quick route to get there and send the address on my map please!,sending the address and route to gas_station#poi at 200 alester ave to your map.
"where is the nearest hospital? stanford childrens health is the only hospital i can find. it is located at 899 ames ct which is Pizza_Chicago#distance away, but there is a road block near it. oh no i have to get there, what's the address? the address is Stanford_Childrens_Health#address, i sent the best route on your screen thank you.","no problem, have a good day."
"what is the forecast in my city what city do you want the weather for? inglewood, what's the weekly weather looking like? there is a wide range of conditions for inglewood next week, from 40-100f and snow to hot.  are there any particular details you would like? when is it expected to snow?",it is expected to snow on inglewood#wednesday in inglewood.
give me directions to some nearby hotels we're Dish_Parking#distance away from the clement hotel: send you its address on screen? yes please. rest_stop#poi is located at 657 ames avenue. set the navigation please.  gps set for rest_stop#poi. please select the quickest route.,"i sent you the info with the quickest route on screen, drive carefully!"
set a reminder for a meeting with my boss on the 12th of this month at 10am to discuss the budget.,okay i have set a reminder for your meeting with your boss at 10am on the 12th of the month to discuss the budget.
how many hotels are around here,i see 2 nearby hotels including four seasons and rest_stop#poi.
what time is my meeting scheduled,your meeting is scheduled for meeting#time.
"please give the address and directions via the fastest route to a hospital.  we're Stanford_Express_Care#distance away from stanford express care, it's at 214 el camino real sounds good. let's go there. thank you.",you're welcome!
what will be the lowest temperature in grand rapids over the next seven days?,the lowest temperature in grand rapids over the next seven days will be 20f on alhambra#saturday
is it going to snow next week what location do you want the weather for? atherton.,no there is no snow in the forecast for atherton for next week.
will it be dry in fresno on menlo_park#sunday?,"no, on menlo_park#sunday in fresno there will be a blizzard."
"get the address to a chinese restaurant that i could get to the quickest. chef chu's is a chinese restaurant located 6 miles way. there is currently Stanford_Childrens_Health#traffic_info though. what is the address? 593 arrowhead way, we're Chef_Chu's#distance away: would you like me to set the route on your screen? yes please.",okay headed to chinese_restaurant#poi chinese restaurant
please give the address and directions via the fastest route to a hospital.,"we're Stanford_Express_Care#distance away from stanford express care, it's at 214 el camino real"
i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3,i have scheduled a meeting for tomorrow at 5 pm. i will remind you at 4:50 pm and attach your agenda.
start listening what will be the weather for the week,what city do you want the weather for?
is it gonna hail in mountain view this week? in mountain view it will be hail on seattle#saturday thank you car!,no problem
what's the weekly forecast what city shall i check the weekly forecast for? i want to know if it will drizzle in cleveland this week,there shouldn't be any drizzle in cleveland this week
give me directions to the nearest grocery store,there is trader joes Trader_Joes#distance away: would you like to get more info?
search today's forecast for what city would you like me to do a search today's forecast? i am interested in san mateo.,it will be overcast in san mateo today between 40-60f.
"what is the date, time, and agenda for my next conference?",your conference is on conference#date at 6 pm to onboard new members.
what's the weather going to be like for this week what city are you inquiring about? will it dew in alhambra?,there is not gonna be any dew in alhambra this week
"please, set a reminder for a meeting at 1pm with hr to sign the nda! i will set a reminder for a meeting at 1pm with hr to sign the nda. thanks!",anytime!
car is it going to snow today what city do you want the forecast for? chicago.,it is not snowing in chicago today.
"will it be stormy this weekend in cleveland? it's supposed to hail on saturday and cloudy on carson#sunday in cleveland.  ok, thank you.",anytime.
what's the weekly forecast for cleveland,during the next week the weather in cleveland will be mostly cloudy and raining.
what's the highest temperature going to be in grand rapids tomorrow? it will be 60f in grand rapids tomorrow. thank you.,you're welcome.
car what is the weather going to be like in the next several days what city are you in? san mateo. will it be dry on redwood_city#thursday?,it will snow in san mateo on redwood_city#thursday.
what is the weather like today and tomorrow,in what city would you like to know the weather?
any chinese restaurant around me? there is a pf changs located within P.F._Changs#distance of you.  how is the traffic?,unfortunately there is P.F._Changs#traffic_info on its direction
"where can i get chinese food? there is a p.f. changs P.F._Changs#distance away. what is the address? chinese_restaurant#poi is located at 669 el camino real. please pick the fastest route to get there and send the info on the gps, thank you! gps set to chinese_restaurant#poi at 669 el camino real but a road block is noted nearby, do you still want to proceed? yes, thank you","you're welcome, i'm here to assist you!"
i need a reminder for taking my medicine on august 14th at 7 pm with brother.  scheduled taking medicine at 7 pm on august 14th with brother.  thanks so much.,my pleasure.
what's the weather like in downtown chicago the weather in downtown chicago is windy the low is 60f with a high of 70f. thank you.,you're welcome.
what is the weather forecast for downtown_chicago#wednesday through tuesday of next week,what city do you want to hear the weather for?
"what is the date, time, and agenda of my next conference? you next conference is tuesday at dinner#time to discuss onboard new members in 100 conference room thank you.",you're welcome.
what is the weather is it going to rain,what city are you wanting to know about?
what's the weather forecast for today and tomorrow what city are you interested in knowing the forecast for? i want to know if it's going to be humid in redwood city.,it's going to be hot on redwood_city#wednesday with highs near 100.
"car find me a grocery store within home#distance from my location with the shortest distance. the closest grocery store is safeway, 5677_southwest_4th_street#distance away at 452 arcadia pl. would you like directions there? yes, please direct me via the shortest distance.",setting navigation to safeway now; there is Cafe_Venetia#traffic_info.
find me a place where i could have some coffee.,there is a coffee_or_tea_place#poi and palo alto cafe nearby.
what is the temperature outside,where are you located?
"where is the rest stop within Palo_Alto_Medical_Foundation#distance? there is the clement hotel The_Clement_Hotel#distance away, i'm showing it on your map what is the address?",rest_stop#poi is located at 657 ames avenue. anything else?
what's the weather like,what city are you in?
please give me directions to a nearby parking garage parking lot stanford oval parking is the nearest parking garage. it is 5672_barringer_street#distance away and this route is traffic free. sounds great. set the gps for there. thanks.  navigating to Stanford_Oval_Parking#address. thank you.,you're welcome!
"navigate to the nearest hotel there are two nearby hotels. the clement hotel and hotel keen, they are both Chef_Chu's#distance away.  can i have the address of rest_stop#poi? rest_stop#poi is located at 578 arbol dr. thank you car!","you're welcome, it's my pleasure."
what is the weather forecast for the next 7 days,what city are you interested in knowing about?
what is the date of my lab appointment and who will be attending it?,"i have two lab appointments, which one did you want? one is for the 9th at 9 am with ana and one is for lab_appointment#date at 4pm with your brother."
"car my home should be around here, please send me the info on screen, i must be a little drunk.. ouch, i set the gps to your address, we're home#distance away: please drive carefully! what is the address? the address is home#address.  okay, let's go the route that doesn't have any traffic","i sent the best available route on your screen, once again, drive carefully!"
what time is the doctor's appointment your doctors appointment is tueday at 2pm wow thank you.,you are most welcome!
search hotels near me the comfort inn is the only rest stop nearby. it is Comfort_Inn#distance away and there is a car collision nearby find an alternate route please.,setting navigation to Comfort_Inn#address now.
give me directions to the nearest parking garage,"the nearest garage is palo alto garage r, it's Palo_Alto_Garage_R#distance away on 481 amaranta ave"
"good day car, i would like to schedule a meeting at 9 am, next wednesday with management to discuss the merger.","great, i have just scheduled that meeting for you. is there anything else i can do?"
what's the route to my friends house within Town_and_Country#distance? toms house is toms_house#distance away but has a road block nearby on the route. do you want the address? yes please.,"580 van ness ave, there is a toms_house#traffic_info but you should be able to reach it fast anyway with the route i sent to your screen"
where is the nearest grocery store,we're Whole_Foods#distance away from whole foods: do you want me to set the gps to go there?
where is the house,are you talking about your home?
"where is there a pizza place near me? pizza my heart is Pizza_My_Heart#distance away but a car collision is being reported.  okay, where is pizza_restaurant#poi? its address is Pizza_My_Heart#address, i sent the directions on your screen please highlight a quick route on the map for me! here is a quick route to pizza_restaurant#poi. thank you very much car!",you are welcome driver
will it be humid in san jose next week?,it will be humid on tuesday and atherton#sunday in san jose.
"where is there a hospital around me? we're The_Westin#distance away from stanford express care: do you want me to set the gps to go there? ok, please give me the address and direct me there via a quick route.  the address is Stanford_Express_Care#address; setting navigation now.  thank you car!",you're welcome!
directions to coffee and tea house here are directions to coffee_or_tea_place#poi. give me the address. the address to coffee_or_tea_place#poi is 145 amherst st. is coffee_or_tea_place#poi the closest coffee place to my current location? yes coffee_or_tea_place#poi is only 1 mile away. is there any traffic?,there is Sigona_Farmers_Market#traffic_info on the route to teavana.
get me the time of the doctor's appointment,the doctor's appointment is at doctor_appointment#time.
schedule dinner with martha later this week at 11am.,what day of the week do you want the reminder set for?
"what is the weather going to be like today and tomorrow what city are you in? im in brentwood, i want to know if there will be frost today or tomorrow there shouldn't be any frost in brentwood today or tomorrow. thank you!",my pleasure.
what will the weather be like in the city in what city would you like the weather information for? i'd like to know if the weather will be hot in san jose during the next week,the temperature in san jose will reach a high of 100f on san_jose#sunday.
how many hotels are around here,"there is just the westin, it's The_Westin#distance away"
what is the date and time of the conference the conference is at lab_appointment#time on monday. thank you.,no problem!
"what is the address of my friends house? your friend house is on jills_house#address: do you want me to set the gps to that location? yes, please, just pick a route to avoid all Palo_Alto_Garage_R#traffic_info",navigating to your friend's house.
what is the weather like today what city would you like the weather forecast for? will it be hot in compton today?,it will be warm today in compton.
where can i get chinese food?,"there is p.f. changs P.F._Changs#distance away but there have been a car collision nearby, we might get stuck in the traffic"
please give me the address and directions via the quickest route to a coffee or tea place within Palo_Alto_Garage_R#distance of here.,peets coffee is Peets_Coffee#distance away and there is a car collision nearby. you will be able to find it at 9981 archuleta ave
what will the temperature be this weekend in grand rapids?,it looks like it will be 70-80f on saturday and 90-100f on alhambra#sunday.
set reminder for yoga class on the 12th of this month,what time is your yoga class
search for nearby starbucks,there is no starbucks nearby.
"what is the weather forecast like in the city can you tell me what city i should give you the weather information about? find out if there will be snow in cleveland this manhattan#wednesday, please.  there will be no snow this manhattan#wednesday in cleveland.  thank you.",you're welcome.
you tell me if the forecast for the next week calls for it to be above 86 degrees on any day what city are you inquiring about? will there be dry weather in danville,there will be no dry days this week in danville.
"please give me the address and directions via a route that avoids all Palo_Alto_Medical_Foundation#traffic_info to a hospital around here.  stanford childrens health is the only hospital that i can find. it is located at 899 ames ct Stanford_Childrens_Health#distance away okay, send me a route there that avoids all Palo_Alto_Medical_Foundation#traffic_info the current route does not have any traffic great thank you",your welcome.
what is the weather like today,what city would you like the weather forecast for?
what's the current temperature outside,what location do you want the temperature for?
when are we getting together for football? and who's coming?,got it
what's today's and tomorrow's forecast what city do you want the forecast for? i want to know the temperature in danville for what day would you like to know the temperature?  today and tomorrow,"today downtown_chicago#monday, will be a low of 90f, high of 100f and tomorrow also a low of 90f, high of 100f."
"what is the weather like today and tomorrow what city are you in? mountain view. today in mountain view is gonna be overcast with low of 40f, tomorrow it will be cloudy thank you!",you're welcome!
"give me directions to a place to sleep there are the four seasons hotel 2 miles away, and the westin The_Westin#distance from here. which one do you prefer? give me the address of westin. the westin hotel is at 329 el camino real, it's 5 miles away and there is Pizza_Chicago#traffic_info on the route thanks how's the traffic to the rest_stop#poi?",four seasons has home#traffic_info. is that okay?
is there rain on camarillo#sunday,what city would you like the forecast for?
"what's the forecast for today for what location? grand rapids, will there be frost today? no, no frost, there will be rain today in grand rapids thank you so much car!",you are very welcome!
schedule yoga with marie at 4pm on the 5th of this month setting a reminder for yoga with marie on the 5th of this month at 4 pm. thanks. you are welcome. anything else? that's all for now.,thank you.
"schedule a reminder for my tennis activity at 6pm, the tenth with father.  ok, reminder for tennis with your father on the tenth at 6pm is set. thank you.",have a great day.
show me the nearest shopping mall we are Stanford_Shopping_Center#distance away from stanford shopping center: does it sound good to you? give me the address.,"the address is Stanford_Shopping_Center#address, i sent it on your screen"
"search for nearby cafe we're Teavana#distance away from teavana with heavy traffic on its direction but i'm afraid this is the best option ok, please give me the address and directions via a quick route.",setting directions to Teavana#address now.
find me directions to the nearest hotel,the nearest hotel is rest_stop#poi.
what date is the football game and who is attending?,"you have 2 football games, one on football_activity#date with your aunt and one on the 14th with ana."
will it be cloudy,what city would you like weather information about?
tell me the weather forecast for this week,what city do you want the weather for?
"car i need to go to a grocery store there is a safeway at 452 arcadia place, Starbucks#distance away. would you like directions there? yes, please, pick a route to avoid all 5677_southwest_4th_street#traffic_info","i'm afraid the route to safeway currently has 5677_southwest_4th_street#traffic_info, and it is the only grocery store in the area. proceed?"
will it be cloudy this week what city are you in? san mateo. it's not gonna be cloudy this week in san mateo but it might rain on wednesday and it could fall hail on inglewood#saturday oh ok thanks.,"you're welcome, glad i could help."
where is the closest place to eat there is a pizza restaurant Pizza_Chicago#distance away and a couple chinese restaurants a little farther. what would you like to eat? chinese please.,"panda express is 5 miles away in heavy traffic, and chef chu's is 8 miles away but there is a Pizza_Chicago#traffic_info. which of these do you prefer?"
find the address to my home in the local area. your home is at home#address. ok thanks set the gps there please.,gps set for home#address.
get me the weather report for this week for what city would you like this week's weather report? will there be a blizzard in new york this week?,the weekly forecast for new york does not say that there will be a blizzard.
"start listening what will be the weather for the week what city are you asking about? will it be stormy in durham? there is gonna be a blizzard in durham on camarillo#friday, no previsions for storms thank you!",you are welcome.
please remind me i'm going to a swimming party at 5 pm on july 7th with martha,"ok, swimming party with martha on july 7th at 5pm is saved to your calendar."
"what is the time and agenda for my meeting, and who is attending?","i have two meetings listed, for which one would you like the information?"
what is the weather supposed to be like for the next week,for what city are you inquiring about?
schedule a dentist appointment with ana for the 15th of this month at 2pm. i will schedule a dentist appointment with ana for the 15th of this month at 2pm.  thanks,glad i could be of assistance.
"i'm taking medicine on the 7th setting a reminder to take your medicine on the 7th, what time should i add? please set it for 3pm. my aunt will also be there. okay, setting a reminder to take medicine on the 7th at 3 pm with your aunt. great, i appreciate it. thanks!",happy to help
"car i desire to eat chinese today, please pick a restaurant within 5 miles and avoid all Coupa#traffic_info",mandarin roots chinese restaurant is 1 mile away through tai_pan#traffic_info.
how warm is it outside right now where are you located? inglewood.,it is between 90-100f in inglewood right now.
what's the weather going to be like today what city are you inquiring about? will it drizzle in iniglewood? it might rain in inglewood on inglewood#tuesday thank you!,glad i could help out
"navigate me to the nearest hotel we're The_Westin#distance away from the westin and there is also a car collision nearby, it's not going to be fast any other options? rest_stop#poi at 329 el camino real is the only option i have available ok, please give me directions via the shortest distance.  setting navigation to rest_stop#poi now.  thank you car assistant.",you're welcome!
"what is the current temperature what city would you like the current temperature for? alhambra, please.",the current temperature in alhambra is a low of 60f and a high of 70f.
"find the address to a chinese restaurant that i could get to the quickest. the best option is jing jing, it's Mandarin_Roots#distance away and there i moderate traffic on our way: would you like me to send you the position on your screen? give me the address.",chinese_restaurant#poi is located at 113 arbol dr.
"how hot is it going to be this week which location do you want the weather for? downtown chicago, please in downtown chicago this week it will be stormy on monday, foggy on tuesday, rainy on wednesday, lowest temperature on thursday, humid on friday, drizzle on saturday, clear skies on grand_rapids#sunday thanks.",anytime.
remind me i have a tennis match on the 12th,okay. what time on the 12th?
is it supposed to rain this week what city are you inquiring about? menlo park. there will be no rain this week in menlo park.  thank you!,you're welcome!
find home address for me within Coupa#distance.,your home is at home#address.
will there be hail in the forecast for oakland next week?,there is no forecast of hail in oakland next week.
"what's the weather going to be today and also what is the weather going to be this week what location who you like the weather for? i need weather information for today, especially about the temperature, for downtown chicago.",it will be between 80-90f in chicago today.
"where can a girl get some pizza around here? there is pizza chicago Four_Seasons#distance away and round table 7 miles away: they should serve pizza to boys as well please give me the address and directions via the route that avoids all Four_Seasons#traffic_info to pizza chicago. the restaurant's address is Pizza_Chicago#address, i sent on your screen the best available route thank you.",you're welcome!
when is my optometrist's appointment on the 12th,your optometrist appointment is for optometrist_appointment#time on the 12th.
"set a reminder for doctors appointment on august 14th at 4pm with my sister reminder for doctors appointment on august 14th at 4pm with your sister is set sorry, can you confirm that that has been set one more time? a reminder for your doctors appointment on august 14th at 4pm with your sister has been set. thank you very much.","no problem, goodbye."
what is my adress?,you live at home#address.
what will the weather be like tomorrow,what location do you need information about?
what will the weather be like in the city,what city do you need the weather for?
"directions to the nearest grocery store the nearest grocery store is grocery_store#poi at 819 alma st, 1 mile away. would you like directions there? yes, i need the fastest route","although there is a Whole_Foods#traffic_info, it is the fastest route to whole foods 1 mile away"
what is the forecast in my city in which city are you now? i'm in inglewood. which one is it the weather forecast for the next two days? in inglewood it's gonna be foggy today and there will be dew on downtown_chicago#tuesday thanks.,you're welcome.
will there be dew in redwood city in the weekend?,there will not be dew in redwood city next week.
"can you give me directions to a fast food place that serves pizza pizza my heart is 1 mile away in Pizza_My_Heart#traffic_info. would you like directions there?  yes, please give me and address and directions via a quick route.",pizza my heart is located at 528 anton ct you will find a Starbucks#traffic_info
"find a chinese take-out spot near my location. there is chinese_restaurant#poi, panda express, and p.f. changs. which has the least traffic? in this moment there is Palo_Alto_Medical_Foundation#traffic_info towards p.f. changs and palo alto medical foundation then let's go at chinese_restaurant#poi, thank you car!","setting the route there, you're welcome!"
where can i go to eat there are a couple chinese restaurants and a pizzeria within Teavana#distance: where do you prefer to go? give me the address to the pizza spot.,the nearest place is called pizza_restaurant#poi located at 915 arbol dr.
i need help finding a grocery store. i have a listing for a grocery store named grocery_store#poi.  what is the address?,the address is Sigona_Farmers_Market#address. would you like directions there?
"how many hotels are around here there is just the westin, it's The_Westin#distance away how is the traffic?","there is a The_Westin#traffic_info, it might cost us lot of wait"
