,inputs,outputs
383,"where is there a shopping center within 5 miles? we're 2 miles away from town and country but there is a car collision nearby, we might lose lot of time mmm, no, i wanted some route with no traffic... is it the only option? currently town and country is the only option. well okay i guess it will have to do then where is it located? town and country is at 383 university ave. but be aware there is a car collision being reported nearby.  ok that's fine just set the navigation.",navigation set for town and country.
384,"where is there a shopping center within 5 miles? we're 2 miles away from town and country but there is a car collision nearby, we might lose lot of time mmm, no, i wanted some route with no traffic... is it the only option? currently town and country is the only option. well okay i guess it will have to do then where is it located? town and country is at 383 university ave. but be aware there is a car collision being reported nearby.  ok that's fine just set the navigation.  navigation set for town and country. thanks so much.",you are welcome
385,what is the weather going to be today and tomorrow,what city would you like the weather for?
386,"what is the weather going to be today and tomorrow what city would you like the weather for? compton, please!",it will be between 70-90f on monday and 90-100f on tuesday in compton.
387,"what is the weather going to be today and tomorrow what city would you like the weather for? compton, please! it will be between 70-90f on monday and 90-100f on tuesday in compton. thank you.",you're welcome.
388,get directions to home,home is 5 miles away at 5671 barringer street.
389,get directions to home home is 5 miles away at 5671 barringer street.  i need a route with no traffic please.,the only route i have has a lot of traffic. it is 5 miles away. i will try my best to avoid the traffic.
390,get directions to home home is 5 miles away at 5671 barringer street.  i need a route with no traffic please.  the only route i have has a lot of traffic. it is 5 miles away. i will try my best to avoid the traffic.  thanks. i hope we miss most of it.,"you're welcome, i hope so too"
391,get me directions to the closest starbucks,navigating you to starbucks.
392,"get me directions to the closest starbucks navigating you to starbucks. thank you car, please send me the address on screen and avoid all heavy traffic!","you're welcome, navigating you to 792 bedoin street!"
393,where can i fill up?,chevron is 4 miles away.
394,where can i fill up? chevron is 4 miles away. can i get the fastest route please.,"there is no traffic, so i will display those directions to those gps now."
395,"where can i fill up? chevron is 4 miles away. can i get the fastest route please. there is no traffic, so i will display those directions to those gps now.  thank you.",you're welcome!
396,make a note that at 5 pm on the 12th i have yoga,"okay, making note of your yoga appointment at 5 pm on the 12th."
397,"make a note that at 5 pm on the 12th i have yoga okay, making note of your yoga appointment at 5 pm on the 12th.  thank you!",you are very welcome.
398,what is the date location and time of my next conference,"hello, we need to pick him up by 11 am and bring him to the conference."
399,"what is the date, time, and agenda of my next conference?",you next conference is tuesday at 6pm to discuss onboard new members in 100 conference room
400,"what is the date, time, and agenda of my next conference? you next conference is tuesday at 6pm to discuss onboard new members in 100 conference room thank you.",you're welcome.
401,i need a route to my friends that avoids heavy traffic.,we're 7 miles away from jack's house but there is a car collision nearby: are you sure you want to go there today?
402,i need a route to my friends that avoids heavy traffic.  we're 7 miles away from jack's house but there is a car collision nearby: are you sure you want to go there today? yes i need to get there. what's the address?,jacks house is at 864 almanor ln.
403,i need a route to my friends that avoids heavy traffic.  we're 7 miles away from jack's house but there is a car collision nearby: are you sure you want to go there today? yes i need to get there. what's the address? jacks house is at 864 almanor ln.  thanks!,you're welcome!
404,what's the temperature going to be like this week,you want the weekly temperature for what city?
405,what's the temperature going to be like this week you want the weekly temperature for what city? cleveland,the temperature in cleveland this week is showing lows of 20f and highs in the 100fs
406,what's the temperature going to be like this week you want the weekly temperature for what city? cleveland the temperature in cleveland this week is showing lows of 20f and highs in the 100fs thank you,you are welcome.
407,where can i get some tea.,i have a place called philz that serves tea. would you like more info?
408,"where can i get some tea. i have a place called philz that serves tea. would you like more info? yes, please! send me the fastest route with no traffic",the address to philz is 583 alester ave. i am now setting gps for fastest route with no traffic.
409,"where can i get some tea. i have a place called philz that serves tea. would you like more info? yes, please! send me the fastest route with no traffic the address to philz is 583 alester ave. i am now setting gps for fastest route with no traffic.  thank you very much car, pick some route with no traffic please and let's go!",ok!
410,what is the forecast for new york city,the forecast for today is clear skies with a low of 50f and a high of 70f.
411,"what is the forecast for new york city the forecast for today is clear skies with a low of 50f and a high of 70f. okay, will there be clear skies on thursday?",thursday's forecast calls for rain in new york
412,"what is the forecast for new york city the forecast for today is clear skies with a low of 50f and a high of 70f. okay, will there be clear skies on thursday? thursday's forecast calls for rain in new york thank you",you are welcome.
413,where can i get pizza?,you can get pizza at two places; pizza my heart which is one mile away or papa johns 5 miles away. which do you prefer?
414,where can i get pizza? you can get pizza at two places; pizza my heart which is one mile away or papa johns 5 miles away. which do you prefer? what is the address of pizza my heart?,pizza my heart is located at 528 anton ct.
415,where can i get pizza? you can get pizza at two places; pizza my heart which is one mile away or papa johns 5 miles away. which do you prefer? what is the address of pizza my heart? pizza my heart is located at 528 anton ct.  thanks!,"you're welcome, have a good day."
416,will it be windy in corona on wednesday?,corona's forecast does not predict wind on wednesday
417,will it be windy in corona on wednesday? corona's forecast does not predict wind on wednesday thanks a bunch,anytime.
418,give me this week's high temperature,in which city do you want to know the high temperatures for?
419,"give me this week's high temperature in which city do you want to know the high temperatures for? in mountain view, please.",the high temperature in mountain view is 90f.
420,"give me this week's high temperature in which city do you want to know the high temperatures for? in mountain view, please.  the high temperature in mountain view is 90f. thank you.",no problem
421,what is the date and time of my optometrist appointment?,you have two optometrist appointments scheduled; one on the 2nd at 9 am and one on the 6th at 10 am.
422,what is the date and time of my optometrist appointment? you have two optometrist appointments scheduled; one on the 2nd at 9 am and one on the 6th at 10 am.  that is all.,happy to help.
423,take me home,"we're 6 miles away from home and there is heavy traffic, i sent on screen an alternative route to reach a little quicker"
424,"take me home we're 6 miles away from home and there is heavy traffic, i sent on screen an alternative route to reach a little quicker thank you, pick the route with no traffic please",here is a route home but there will be traffic.
425,"take me home we're 6 miles away from home and there is heavy traffic, i sent on screen an alternative route to reach a little quicker thank you, pick the route with no traffic please here is a route home but there will be traffic. it's okay, thank you very much car!",you're welcome. have a great day.
426,find a tea shop,there is a starbucks 3 miles away.
427,find a tea shop there is a starbucks 3 miles away. give me the address.,"the address is 792 bedoin street, it's 3 miles away and there is heavy traffic on our way"
428,"find a tea shop there is a starbucks 3 miles away. give me the address. the address is 792 bedoin street, it's 3 miles away and there is heavy traffic on our way thank you car, let's go there","you're welcome, on our way. we should be there soon."
429,what are the directions to the mall,there is town and country 5 miles away: would you like to go there?
430,"what are the directions to the mall there is town and country 5 miles away: would you like to go there? yes, please.",navigating to town and country.
431,"what are the directions to the mall there is town and country 5 miles away: would you like to go there? yes, please. navigating to town and country. give me the address.",town and country is located at 383 university avenue.
432,"what are the directions to the mall there is town and country 5 miles away: would you like to go there? yes, please. navigating to town and country. give me the address. town and country is located at 383 university avenue.  thanks!",you're welcome!
433,find nearest coffee shop,the nearest coffee shop is starbucks located at 792 bedoin street.
434,"find nearest coffee shop the nearest coffee shop is starbucks located at 792 bedoin street. is the starbucks within 5 miles of here? if so, please direct me to the starbucks via the quickest route.",yes the starbucks is only 2 miles away. setting the gps.
435,"find nearest coffee shop the nearest coffee shop is starbucks located at 792 bedoin street. is the starbucks within 5 miles of here? if so, please direct me to the starbucks via the quickest route.  yes the starbucks is only 2 miles away. setting the gps.  thank you.",you're welcome.
436,what's the weather like in grand rapids,"the weather predicted for grand rapids is rain, the temperature is a low of 30f with a high of 40f."
437,"what's the weather like in grand rapids the weather predicted for grand rapids is rain, the temperature is a low of 30f with a high of 40f. will it be windy in grand rapids during next week?",it should not be windy next week in grand rapids.
438,"what's the weather like in grand rapids the weather predicted for grand rapids is rain, the temperature is a low of 30f with a high of 40f. will it be windy in grand rapids during next week? it should not be windy next week in grand rapids. thank you.",you are welcome.
439,where can i get coffee,"the teavana is 8 miles away, and there is currently no traffic. would you like directions there?"
440,"where can i get coffee the teavana is 8 miles away, and there is currently no traffic. would you like directions there? yes, please pick a quick route to go there and send it on my screen!","i sent all the directions on your screen, drive carefully!"
441,"where can i get coffee the teavana is 8 miles away, and there is currently no traffic. would you like directions there? yes, please pick a quick route to go there and send it on my screen! i sent all the directions on your screen, drive carefully! thank you.",no problem!
442,what's the weather going to be today and also what is the weather going to be this week,what location who you like the weather for?
443,"what's the weather going to be today and also what is the weather going to be this week what location who you like the weather for? i need weather information for today, especially about the temperature, for downtown chicago.",it will be between 80-90f in chicago today.
444,"what's the weather going to be today and also what is the weather going to be this week what location who you like the weather for? i need weather information for today, especially about the temperature, for downtown chicago. it will be between 80-90f in chicago today. thank you",glad to help
445,where can i go shopping?,ravenswood shopping center is 7 miles away.
446,where can i go shopping? ravenswood shopping center is 7 miles away. would you give me the address of the location and directions by the quickest route?,the address for ravenswood shopping center is 434 arastradero rd. with no traffic reported.
447,"where can i go shopping? ravenswood shopping center is 7 miles away. would you give me the address of the location and directions by the quickest route? the address for ravenswood shopping center is 434 arastradero rd. with no traffic reported.  thank you car, set the gps to go there please!",you're welcome. gps set and we should arrive shortly.
448,what hospitals are nearby?,there is one hospital nearby called stanford express care. do you need the address?
449,what hospitals are nearby? there is one hospital nearby called stanford express care. do you need the address? yes.,its address is 214 el camino real. do you want me to set the gps to go there?
450,"what hospitals are nearby? there is one hospital nearby called stanford express care. do you need the address? yes. its address is 214 el camino real. do you want me to set the gps to go there? yes please, thanks.","you're welcome, glad i could help."
451,set reminder for laboratory request on this month on the 12th,"okay, what time should i set your reminder?"
452,"when, where, and what time is my meeting, and who will be there?",your meeting to discuss the merger with hr is on friday at 4 pm.
453,"when, where, and what time is my meeting, and who will be there? your meeting to discuss the merger with hr is on friday at 4 pm. okay and where is the meeting?",it's in conference room 100.
454,"when, where, and what time is my meeting, and who will be there? your meeting to discuss the merger with hr is on friday at 4 pm. okay and where is the meeting? it's in conference room 100. great, thank you!",no problem
455,"give me the agenda, date and time of my next meeting.",the next meeting is scheduled for 5pm on friday with agenda of discussing dress code.
456,will it be hot in grand rapids on friday?,"no, on saturday it will be blizzard in grand rapids"
457,"will it be hot in grand rapids on friday? no, on saturday it will be blizzard in grand rapids thank you.",you are very welcome
458,what is the shortest route to home?,here is the shortest route to 56 cadwell street.
459,what is the shortest route to home? here is the shortest route to 56 cadwell street. sounds great thanks.,no problem!
460,remind me when i can get my lab results,what day are they expected to be in?
461,tomorrow's forecast,what city can i tell you tomorrows forecast for?
462,tomorrow's forecast what city can i tell you tomorrows forecast for? i need the forecast in alhambra for tomorrow please.,"tomorrow it will be overcast in alhambra, with low of 30f, and high of 40f"
463,"tomorrow's forecast what city can i tell you tomorrows forecast for? i need the forecast in alhambra for tomorrow please.  tomorrow it will be overcast in alhambra, with low of 30f, and high of 40f thank you car!",you're welcome!
464,find me the best parking spot,there are two nearby parking garages. dish parking and webster garage.
465,find me the best parking spot there are two nearby parking garages. dish parking and webster garage.  what is traffic like on the route to those locations and can you send me directions to the one without any traffic?,"webster garage is located 2 miles away, though there is a car collision nearby. would you like directions there?"
466,"find me the best parking spot there are two nearby parking garages. dish parking and webster garage.  what is traffic like on the route to those locations and can you send me directions to the one without any traffic? webster garage is located 2 miles away, though there is a car collision nearby. would you like directions there? yes, please give me directions via the fastest possible route.",setting navigation to 880 ames ct now.
467,"find me the best parking spot there are two nearby parking garages. dish parking and webster garage.  what is traffic like on the route to those locations and can you send me directions to the one without any traffic? webster garage is located 2 miles away, though there is a car collision nearby. would you like directions there? yes, please give me directions via the fastest possible route.  setting navigation to 880 ames ct now.  thank you car!",you're welcome.
468,set a reminder to take medicine at 10am on the 11th with my brother,"okay, setting a reminder to take medicine with your brother on the 11th at 10 am."
469,"set a reminder to take medicine at 10am on the 11th with my brother okay, setting a reminder to take medicine with your brother on the 11th at 10 am. thank you.",you're welcome
470,set a reminder for a lab appointment on the 13th at 4pm with jeff.,setting a reminder for your lab appointment with jeff at 4 pm on the 13th.
471,set a reminder for a lab appointment on the 13th at 4pm with jeff. setting a reminder for your lab appointment with jeff at 4 pm on the 13th. thank you.,happy to help
472,schedule a conference with management on monday august 8th at 10am.,i will schedule a conference with management on monday august 8th at 10 am immediately!
473,schedule a conference with management on monday august 8th at 10am. i will schedule a conference with management on monday august 8th at 10 am immediately!  thank you kindly.,it is my pleasure.
474,what is the weather like in new york city,what would you like to know about the weather in new york city?
475,what is the weather like in new york city what would you like to know about the weather in new york city? there will be clear skies today?,today in new york city it will snow
476,"what is the weather like in new york city what would you like to know about the weather in new york city? there will be clear skies today? today in new york city it will snow that works, thanks.",you're welcome!
477,"in mountain view, will there be frost today or tomorrow?","no, in mountain view there will be clear skies today and dry tomorrow"
478,"in mountain view, will there be frost today or tomorrow? no, in mountain view there will be clear skies today and dry tomorrow thanks.",you are welcome.
479,what's the weather like this week,what city would you like to know the weather for?
480,what's the weather like this week what city would you like to know the weather for? i would like to find out if it will be dry this week in new york,"it will not be dry all week - there could be rain on monday, tuesday, thursday, and friday."
481,"what's the weather like this week what city would you like to know the weather for? i would like to find out if it will be dry this week in new york it will not be dry all week - there could be rain on monday, tuesday, thursday, and friday. thanks.",you are welcome.
482,what's the weather forecast going to be for each day this upcoming week is it going to snow,where are you wanting to know the snow forecast for?
483,"what's the weather forecast going to be for each day this upcoming week is it going to snow where are you wanting to know the snow forecast for? new york, please.",snow is predicted in new york on tuesday of this upcoming week.
484,"what's the weather forecast going to be for each day this upcoming week is it going to snow where are you wanting to know the snow forecast for? new york, please. snow is predicted in new york on tuesday of this upcoming week. that's good to know.",you are welcome.
485,i need to know who is going with me to optometrist appointment  and what day.,tom will be attending your optometrist appointment on friday.
486,i need to know who is going with me to optometrist appointment  and what day.  tom will be attending your optometrist appointment on friday. thank you,you're welcome
487,what is the temperature for the next 7 days weather forecast,what city shall i find the weather forecast for?
488,what is the temperature for the next 7 days weather forecast what city shall i find the weather forecast for? brentwood please,this week in brentwood the temperature lows will be in the 20s and 50s with highs reaching 100f
489,"what is the temperature for the next 7 days weather forecast what city shall i find the weather forecast for? brentwood please this week in brentwood the temperature lows will be in the 20s and 50s with highs reaching 100f okay, thank you",you're very welcome!
490,where is the nearest rest stop?,"the nearest one is the four seasons, it's 3 miles away. but if you prefer there is also the travelers lodge that's 6 miles away"
491,"where is the nearest rest stop? the nearest one is the four seasons, it's 3 miles away. but if you prefer there is also the travelers lodge that's 6 miles away give me the address and directions to the hotel that is located on the quickest route.","the four seasons is at 465 arcadia pl, 3 miles away with no traffic. setting navigation now."
492,"where is the nearest rest stop? the nearest one is the four seasons, it's 3 miles away. but if you prefer there is also the travelers lodge that's 6 miles away give me the address and directions to the hotel that is located on the quickest route.  the four seasons is at 465 arcadia pl, 3 miles away with no traffic. setting navigation now.  thank you car assistant.",anytime!
493,where is the closest hospital?,stanford childrens health is 5 miles away.
494,where is the closest hospital? stanford childrens health is 5 miles away. what is the address?,"899 ames ct, we're 5 miles away, i sent the info on your screen. anything else?!"
495,"where is the closest hospital? stanford childrens health is 5 miles away. what is the address? 899 ames ct, we're 5 miles away, i sent the info on your screen. anything else?! let's go there through the fastest way and with least traffic too, please",displaying the route now. there is moderate traffic on the way there.
496,"where is the closest hospital? stanford childrens health is 5 miles away. what is the address? 899 ames ct, we're 5 miles away, i sent the info on your screen. anything else?! let's go there through the fastest way and with least traffic too, please displaying the route now. there is moderate traffic on the way there.  thank you",you are welcome!
497,"where is the closest hospital? stanford childrens health is 5 miles away. what is the address? 899 ames ct, we're 5 miles away, i sent the info on your screen. anything else?! let's go there through the fastest way and with least traffic too, please displaying the route now. there is moderate traffic on the way there.  thank you you are welcome! thanks once again",have a great day.
498,what day is my dentist appointment,"your dentist appointment is on monday, at 11 am."
499,can you find out who is joining me and what day my optometrist appointment is at?,your optometrist appointment is on the 3rd with marie
500,over the next few days will it rain in fresno,this week it's not gonna rain at all in fresno
501,over the next few days will it rain in fresno this week it's not gonna rain at all in fresno thank you.,anytime.
502,what's the weekly weather report for the city,what city would you like weather information for?
503,what's the weekly weather report for the city what city would you like weather information for? cleveland,"in cleveland, it will be 60-70f on monday, 80-100f tuesday, 90-100f wednesday, 40-60f thursday, 90-100f friday, 40-60f saturday, and 80-90f sunday."
504,"what's the weekly weather report for the city what city would you like weather information for? cleveland in cleveland, it will be 60-70f on monday, 80-100f tuesday, 90-100f wednesday, 40-60f thursday, 90-100f friday, 40-60f saturday, and 80-90f sunday. thanks.",anytime!
505,will it be humid in inglewood during the next few days?,"today is dry, wednesday will have clear skies, and there will be drizzle in inglewood on tuesday."
506,"will it be humid in inglewood during the next few days? today is dry, wednesday will have clear skies, and there will be drizzle in inglewood on tuesday.  thanks.",anytime.
507,will there be dew in menlo park next week?,there is no dew forecast for menlo park this week.
508,will there be dew in menlo park next week?  there is no dew forecast for menlo park this week. thanks.,no problem!
509,will it be warm in san mateo over the weekend?,it is predicted to be warm on saturday and the high on sunday should reach 80f
510,"will it be warm in san mateo over the weekend? it is predicted to be warm on saturday and the high on sunday should reach 80f sounds great, thank you.",you're welcome!
511,take me to the nearest shopping center,there is a shopping center 1 mile away. it is called topanga mall
512,take me to the nearest shopping center there is a shopping center 1 mile away. it is called topanga mall give me the quickest route.,unfortunately there is heavy traffic for the 1 mile drive to topanga mall at 171 oak rd
513,take me to the nearest shopping center there is a shopping center 1 mile away. it is called topanga mall give me the quickest route. unfortunately there is heavy traffic for the 1 mile drive to topanga mall at 171 oak rd find me a different route please.,i'm sorry this is the only route i am showing to the shopping center
514,"take me to the nearest shopping center there is a shopping center 1 mile away. it is called topanga mall give me the quickest route. unfortunately there is heavy traffic for the 1 mile drive to topanga mall at 171 oak rd find me a different route please. i'm sorry this is the only route i am showing to the shopping center ok, thank you then.",you're welcome.
515,give me directions to my friends house,i don't see any address listed as that. do you have an alternate one?
516,"give me directions to my friends house i don't see any address listed as that. do you have an alternate one? mmm, no, i'm sorry, if you don't see it forget about it, i remember the road, let's hope to avoid all heavy traffic..","sorry, i just found it, 56 cadwell street, i set the gps to get there and don't worry, there is no traffic now!"
517,"give me directions to my friends house i don't see any address listed as that. do you have an alternate one? mmm, no, i'm sorry, if you don't see it forget about it, i remember the road, let's hope to avoid all heavy traffic.. sorry, i just found it, 56 cadwell street, i set the gps to get there and don't worry, there is no traffic now! that'll work, thanks.",no problem
518,"give me directions to my friends house i don't see any address listed as that. do you have an alternate one? mmm, no, i'm sorry, if you don't see it forget about it, i remember the road, let's hope to avoid all heavy traffic.. sorry, i just found it, 56 cadwell street, i set the gps to get there and don't worry, there is no traffic now! that'll work, thanks. no problem show me route details please.","gps is set for 56 cadwell street, which is 3 minutes away with no traffic."
519,"give me directions to my friends house i don't see any address listed as that. do you have an alternate one? mmm, no, i'm sorry, if you don't see it forget about it, i remember the road, let's hope to avoid all heavy traffic.. sorry, i just found it, 56 cadwell street, i set the gps to get there and don't worry, there is no traffic now! that'll work, thanks. no problem show me route details please.  gps is set for 56 cadwell street, which is 3 minutes away with no traffic. thank you.",you're welcome.
520,i want pizza.,there is two pizza places local; dominos and pizza my heart. do you have a preference?
521,"i want pizza. there is two pizza places local; dominos and pizza my heart. do you have a preference? yes, i'd like the route nearest me with no heavy traffic","let's go to pizza my heart, it is just 2 miles away with no traffic noted."
522,"i want pizza. there is two pizza places local; dominos and pizza my heart. do you have a preference? yes, i'd like the route nearest me with no heavy traffic let's go to pizza my heart, it is just 2 miles away with no traffic noted.  thank you car!",you're welcome!
523,where can i go shopping?,ravenswood shopping center is close.
524,where can i go shopping? ravenswood shopping center is close. is it within 3 miles of my location?,yes ravenswood is within 3 miles with moderate traffic noted.
525,where can i go shopping? ravenswood shopping center is close. is it within 3 miles of my location? yes ravenswood is within 3 miles with moderate traffic noted. please give me the quickest route.,"i sent the quickest route on your screen, drive carefully!"
526,"where can i go shopping? ravenswood shopping center is close. is it within 3 miles of my location? yes ravenswood is within 3 miles with moderate traffic noted. please give me the quickest route.  i sent the quickest route on your screen, drive carefully! thank you.",you're welcome.
527,set a reminder to go to conference room 104 the meeting on the 12th,what time is the meeting?
528,on thursday will it be overcast in exeter?,the weather forecast for thrusday in exeter is frost
529,on thursday will it be overcast in exeter? the weather forecast for thrusday in exeter is frost thank you,you're welcome.
530,what is the date and time for my doctor appointment?,your doctor's appointment is on the 16th at 7 pm.
531,what is my address?,your home address is 5671 barringer street
532,what is my address? your home address is 5671 barringer street thanks set the gps to the avoid the heavy traffic please.,done. there is only moderate traffic on the route home.
533,what is my address? your home address is 5671 barringer street thanks set the gps to the avoid the heavy traffic please. done. there is only moderate traffic on the route home. ok thanks.,you're welcome.
534,what time is my doctor's appointment tomorrow,the doctor's appointment is thursday at 3pm.
535,remind me of a doctors appointment on the 29th,i set a reminder for your doctors appointment on the 29th of this month sir.
536,which one is gonna be the lowest temperature today and tomorrow in fresno?,tuesday will have the lowest temperature of 30f in fresno
537,which one is gonna be the lowest temperature today and tomorrow in fresno? tuesday will have the lowest temperature of 30f in fresno thank you very much!,happy to help
538,"car, will you schedule a doctor's appointment for me? set it for 11 am, tomorrow, with jon.",i sure will. it's all set! anything else?
539,"car, will you schedule a doctor's appointment for me? set it for 11 am, tomorrow, with jon. i sure will. it's all set! anything else? no, thank you so much!","okay, i will schedule your doctor appointment with jon for tomorrow at 11 am."
540,"car, will you schedule a doctor's appointment for me? set it for 11 am, tomorrow, with jon. i sure will. it's all set! anything else? no, thank you so much! okay, i will schedule your doctor appointment with jon for tomorrow at 11 am. great, thank you.",you are welcome
541,what's the current temperature outside,for what city would you like the current weather for?
542,what's the current temperature outside for what city would you like the current weather for? i'm located in exeter.,the temperature in exeter is showing a low of 60f with a high of 80f.
543,what's the current temperature outside for what city would you like the current weather for? i'm located in exeter. the temperature in exeter is showing a low of 60f with a high of 80f. thanks.,you are very welcome
544,what's the weather forecast for tomorrow,what city can i tell you the weather for?
545,what's the weather forecast for tomorrow what city can i tell you the weather for? boston.,"drizzle, with a low of 40f and high of 60f is predicted in boston tomorrow."
546,"what's the weather forecast for tomorrow what city can i tell you the weather for? boston. drizzle, with a low of 40f and high of 60f is predicted in boston tomorrow. thank you",you are welcome
547,find a grocery market for me please.,sigona farmers market	is 4 miles away.
548,find a grocery market for me please. sigona farmers market	is 4 miles away. does it have the least amount of traffic?,does it have the least amount of traffic?
549,find a grocery market for me please. sigona farmers market	is 4 miles away. does it have the least amount of traffic? does it have the least amount of traffic? how is the traffic around the area?,sigona farmers market route is being reported as heavy traffic.
550,find a grocery market for me please. sigona farmers market	is 4 miles away. does it have the least amount of traffic? does it have the least amount of traffic? how is the traffic around the area? sigona farmers market route is being reported as heavy traffic.  ugh okay. i guess it will have to do. what's the address?,sigona farmers market is at 638 amherst st.
551,find a grocery market for me please. sigona farmers market	is 4 miles away. does it have the least amount of traffic? does it have the least amount of traffic? how is the traffic around the area? sigona farmers market route is being reported as heavy traffic.  ugh okay. i guess it will have to do. what's the address? sigona farmers market is at 638 amherst st. thanks,you're welcome!
552,take me to the nearest grocery store,"the nearest grocery store is 6 miles away, whole foods at 819 alma st."
553,"take me to the nearest grocery store the nearest grocery store is 6 miles away, whole foods at 819 alma st. please give directions to that store by the fastest route. thank you.",setting navigation now.
554,"take me to the nearest grocery store the nearest grocery store is 6 miles away, whole foods at 819 alma st. please give directions to that store by the fastest route. thank you.  setting navigation now.  okay, should i expect to see any traffic?",there is a road block nearby but i already sent on your screen a route to go around it
555,"take me to the nearest grocery store the nearest grocery store is 6 miles away, whole foods at 819 alma st. please give directions to that store by the fastest route. thank you.  setting navigation now.  okay, should i expect to see any traffic? there is a road block nearby but i already sent on your screen a route to go around it thank you",you are welcome
556,i need to make an appointment to get lab testing done on a certain date,what date should i set your appointment?
557,find me a nearby tea or coffee shop,the nearest coffee shop is cafe venetia located 4 miles away. would you like the address?
558,find me a nearby tea or coffee shop the nearest coffee shop is cafe venetia located 4 miles away. would you like the address? yes and avoid all heavy traffic please.,"cafe venetia is located at 269 alger dr, it is 4 miles away without any traffic"
559,"find me a nearby tea or coffee shop the nearest coffee shop is cafe venetia located 4 miles away. would you like the address? yes and avoid all heavy traffic please.  cafe venetia is located at 269 alger dr, it is 4 miles away without any traffic please set the gps to this location.",setting gps to 269 alger street.
560,"find me a nearby tea or coffee shop the nearest coffee shop is cafe venetia located 4 miles away. would you like the address? yes and avoid all heavy traffic please.  cafe venetia is located at 269 alger dr, it is 4 miles away without any traffic please set the gps to this location.  setting gps to 269 alger street.  thank you.",you're welcome!
561,remind me about my doctor's visit,when and where is the doctor's visit you would like to set a reminder for?
562,what time is my optometrist appointment and who all will be there?,"your optometrist appointment is at 10am on the 8th, and your father will also be attending."
563,"what time is my optometrist appointment and who all will be there? your optometrist appointment is at 10am on the 8th, and your father will also be attending. okay, perfect! thanks.",happy to help
564,please tell me the weather for today and tomorrow,please tell me what city i can give you today and tomorrows weather forecast about.
565,please tell me the weather for today and tomorrow please tell me what city i can give you today and tomorrows weather forecast about. i want to know if it will be snowing in fresno.,"yes, snow is in the forecast for today and tomorrow for fresno."
566,"please tell me the weather for today and tomorrow please tell me what city i can give you today and tomorrows weather forecast about. i want to know if it will be snowing in fresno. yes, snow is in the forecast for today and tomorrow for fresno.  thanks.",happy to help
567,what time is my doctor appointment and who is attending?,for which one would you like to know? i have one on thursday and one on friday.
568,what time is my doctor appointment and who is attending? for which one would you like to know? i have one on thursday and one on friday. the one on thursday please.,your doctor appointment for thursday is at 2pm with marie.
569,what time is my doctor appointment and who is attending? for which one would you like to know? i have one on thursday and one on friday. the one on thursday please. your doctor appointment for thursday is at 2pm with marie. thanks.,no problem.
570,find me all the nearest hotels,the only rest stop in the area is the four seasons located 5 miles away. do you need the address?
571,"find me all the nearest hotels the only rest stop in the area is the four seasons located 5 miles away. do you need the address? yes, please, send it on map along with the fastest route too",navigating to the four seasons.
572,"find me all the nearest hotels the only rest stop in the area is the four seasons located 5 miles away. do you need the address? yes, please, send it on map along with the fastest route too navigating to the four seasons. thank you car!",you're welcome!
573,i'd like to set a reminder for my meeting at 2pm later this month please.,what day of the month would that be on?
574,i'd like to set a reminder for my meeting at 2pm later this month please. what day of the month would that be on? it's on the 11th with management to discuss the company picnic.,setting a reminder for your meeting with management at 2 pm on the 11th to discuss the company picnic.
575,"i'd like to set a reminder for my meeting at 2pm later this month please. what day of the month would that be on? it's on the 11th with management to discuss the company picnic. setting a reminder for your meeting with management at 2 pm on the 11th to discuss the company picnic. great, thanks.",you are welcome
576,take me to the nearest starbucks please,the nearest starbucks is 6 miles away. would you like to know the address?
577,"take me to the nearest starbucks please the nearest starbucks is 6 miles away. would you like to know the address? yes, please, send the address on my screen and pick the quickest route for me!","the address is 792 bedoin street, i sent it on your screen, and we're on a route with no traffic, enjoy your trip!"
578,"take me to the nearest starbucks please the nearest starbucks is 6 miles away. would you like to know the address? yes, please, send the address on my screen and pick the quickest route for me! the address is 792 bedoin street, i sent it on your screen, and we're on a route with no traffic, enjoy your trip! thank you car, you rock!","so do you driver, goodbye."
579,can you give me directions to the nearest starbucks,"i do not have a starbucks nearby, but there is a philz coffee and tea place 2 miles away, would you like more information?"
580,"can you give me directions to the nearest starbucks i do not have a starbucks nearby, but there is a philz coffee and tea place 2 miles away, would you like more information? yes, please, check if there is a route with no traffic and send me its address on the screen","unfortunately philzis the only coffee or tea place that i can find. it is located at 583 alester ave, there is heavy traffic on this route"
581,"can you give me directions to the nearest starbucks i do not have a starbucks nearby, but there is a philz coffee and tea place 2 miles away, would you like more information? yes, please, check if there is a route with no traffic and send me its address on the screen unfortunately philzis the only coffee or tea place that i can find. it is located at 583 alester ave, there is heavy traffic on this route that's ok, thanks for providing directions.",you're very welcome!
582,schedule conference.,what details shall i add to your conference reminder?
583,schedule conference.  what details shall i add to your conference reminder? set it for today at 4pm with my boss,anything else?
584,"schedule conference.  what details shall i add to your conference reminder? set it for today at 4pm with my boss anything else? that is all, thanks!",you're welcome
585,is there a chance of snow in this weeks weather forecast,what city do you want the weather for?
586,is there a chance of snow in this weeks weather forecast what city do you want the weather for? san francisco.,there is a chance of snow in san francisco on thursday and saturday.
587,"is there a chance of snow in this weeks weather forecast what city do you want the weather for? san francisco. there is a chance of snow in san francisco on thursday and saturday. i was afraid of that, thank you.","try to have a good week, goodbye."
588,is there a grocery store close?,the only grocery store is sigona farmers market.
